"","gene_id","source","gene_version","gene_name","gene_biotype","phase"
"ENSMUSG00000001380","ENSMUSG00000001380","ensembl","6","Hars","protein_coding",NA
"ENSMUSG00000001383","ENSMUSG00000001383","ensembl","8","Zmat2","protein_coding",NA
"ENSMUSG00000001403","ENSMUSG00000001403","ensembl_havana","13","Ube2c","protein_coding",NA
"ENSMUSG00000001415","ENSMUSG00000001415","ensembl_havana","10","Smg5","protein_coding",NA
"ENSMUSG00000001416","ENSMUSG00000001416","ensembl_havana","13","Cct3","protein_coding",NA
"ENSMUSG00000001418","ENSMUSG00000001418","ensembl_havana","13","Glmp","protein_coding",NA
"ENSMUSG00000001419","ENSMUSG00000001419","ensembl_havana","17","Mef2d","protein_coding",NA
"ENSMUSG00000001420","ENSMUSG00000001420","ensembl_havana","13","Tmem79","protein_coding",NA
"ENSMUSG00000001424","ENSMUSG00000001424","ensembl_havana","14","Snd1","protein_coding",NA
"ENSMUSG00000001435","ENSMUSG00000001435","ensembl_havana","14","Col18a1","protein_coding",NA
"ENSMUSG00000001436","ENSMUSG00000001436","ensembl_havana","15","Slc19a1","protein_coding",NA
"ENSMUSG00000001440","ENSMUSG00000001440","ensembl_havana","5","Kpnb1","protein_coding",NA
"ENSMUSG00000001441","ENSMUSG00000001441","ensembl_havana","13","Npepps","protein_coding",NA
"ENSMUSG00000001444","ENSMUSG00000001444","ensembl_havana","2","Tbx21","protein_coding",NA
"ENSMUSG00000001445","ENSMUSG00000001445","ensembl_havana","10","Mrpl10","protein_coding",NA
"ENSMUSG00000001467","ENSMUSG00000001467","ensembl_havana","5","Cyp51","protein_coding",NA
"ENSMUSG00000001472","ENSMUSG00000001472","ensembl","16","Tcf25","protein_coding",NA
"ENSMUSG00000001473","ENSMUSG00000001473","ensembl","6","Tubb6","protein_coding",NA
"ENSMUSG00000001482","ENSMUSG00000001482","ensembl_havana","14","Def8","protein_coding",NA
"ENSMUSG00000001493","ENSMUSG00000001493","ensembl_havana","9","Meox1","protein_coding",NA
"ENSMUSG00000001494","ENSMUSG00000001494","ensembl_havana","6","Sost","protein_coding",NA
"ENSMUSG00000001496","ENSMUSG00000001496","ensembl_havana","15","Nkx2-1","protein_coding",NA
"ENSMUSG00000001497","ENSMUSG00000001497","ensembl_havana","18","Pax9","protein_coding",NA
"ENSMUSG00000001504","ENSMUSG00000001504","ensembl_havana","10","Irx2","protein_coding",NA
"ENSMUSG00000001506","ENSMUSG00000001506","ensembl_havana","10","Col1a1","protein_coding",NA
"ENSMUSG00000001507","ENSMUSG00000001507","ensembl_havana","16","Itga3","protein_coding",NA
"ENSMUSG00000001508","ENSMUSG00000001508","ensembl_havana","15","Sgca","protein_coding",NA
"ENSMUSG00000001510","ENSMUSG00000001510","ensembl_havana","8","Dlx3","protein_coding",NA
"ENSMUSG00000001517","ENSMUSG00000001517","ensembl_havana","14","Foxm1","protein_coding",NA
"ENSMUSG00000001518","ENSMUSG00000001518","ensembl_havana","12","Itfg2","protein_coding",NA
"ENSMUSG00000001520","ENSMUSG00000001520","ensembl_havana","12","Nrip2","protein_coding",NA
"ENSMUSG00000001521","ENSMUSG00000001521","ensembl_havana","12","Tulp3","protein_coding",NA
